"name","street","street2","zip","city","country:id","phone","email","bic"
"Ходжаабадский филиал HAMKORBANK","171403, Андижанская область, Ходжаабадский район, г. Ходжаабад, ул. Узбекистанская, 25",,,"Андижанская область","base.uz",,,"00072"
"Асакинский филиал Асака банка","170200, Андижанская область, Асакинский район, г. Асака, ул. Г. Ёкубова, 14",,,"Андижанская область","base.uz",,,"00073"
"Андижанское отделение Узнацбанка","170121, Андижанская область, г. Андижан, проспект А. Навои, 39",,,"Андижанская область","base.uz",,,"00074"
"Андижанский региональный филиал Узпромстройбанка","170119, Андижанская область, г. Андижан, ул. Бобуршох, 36",,,"Андижанская область","base.uz",,,"00075"
"Бунёдкорский филиал Узпромстройбанка","170100, Андижанская область, г. Андижан, проспект Амира Темура, 24",,,"Андижанская область","base.uz",,,"00076"
"Андижанский областной территориальный филиал Агробанка","Андижанская область, г.Андижан, ул. Пушкина, 47",,,"Андижанская область","base.uz",,,"00077"
"Андижанский областной филиал Микрокредитбанка","170120, Андижанская область, г. Андижан, ул. Миллий тикланиш , 48",,,"Андижанская область","base.uz",,,"00078"
"Нодирабегимский филиал HAMKORBANK","170102, Андижанская область, г. Андижан, ул. Базар, 2",,,"Андижанская область","base.uz",,,"00079"
"Андижанский филиал Савдогар банка","173000, Андижанская область, г. Андижан, ул. Байналминал, 2",,,"Андижанская область","base.uz",,,"00081"
"Андижанский региональный филиал Кишлок курилиш банка","170102, Андижанская область, г. Андижан, ул. А. Фитрата, 239",,,"Андижанская область","base.uz",,,"00082"
"Головной офис HAMKORBANK","170111, Андижанская область, г. Андижан, ул. Бобуршох, 85",,,"Андижанская область","base.uz",,,"00083"
"Бухарское отделение Узнацбанка","200114, Бухарская область, г. Бухара, ул. М. Икбола, 3",,,"Бухарская область","base.uz",,,"00084"
"Караулбазарский филиал Узпромстройбанка","200715, Бухарская область, Караулбазарский район, г. Караулбазар, ул. А. Навои, 7",,,"Бухарская область","base.uz",,,"00085"
"Бухарский региональный филиал Узпромстройбанка","200107, Бухарская область, г. Бухара, ул. Накшбанда, 257А",,,"Бухарская область","base.uz",,,"00086"
"Каганский филиал Кишлок курилиш банка","200700, Бухарская область, г. Каган, ул. Дустлик, 4",,,"Бухарская область","base.uz",,,"00087"
"Бухарский областной филиал Ипотека банка","200100, Бухарская область, г. Бухара, ул. Икбола, 10",,,"Бухарская область","base.uz",,,"00088"
"Бухарский областной территориальный филиал Агробанка","200113, Бухарская область, г.Бухара, И. Муминова, 29/1",,,"Бухарская область","base.uz",,,"00089"
"Алатский филиал Агробанка","200200, Бухарская область, Алатский район, г. Алат, ул. Шифокорлар, 20",,,"Бухарская область","base.uz",,,"00090"
"Вабкентский филиал Агробанка","210800, Бухарская область, Вабкентский район, г. Вабкент, ул. Ф. Хужаева, 20-а",,,"Бухарская область","base.uz",,,"00091"
"Гиждуванский филиал Агробанка","200500, Бухарская область, Гиждуванский район, г. Гиждуван, ул. С. Ёдгорова, 1",,,"Бухарская область","base.uz",,,"00092"
"Шафирканский филиал Агробанка","201100, Бухарская область, Шафирканский район, г. Шафиркан, ул. Мустакиллик, 11",,,"Бухарская область","base.uz",,,"00093"
"Каракульский филиал Агробанка","200800, Бухарская область, Каракульский район, г. Каракуль, ул. А. Икрамова, 5",,,"Бухарская область","base.uz",,,"00094"
"Ромитанский филиал Агробанка","201000, Бухарская область, Ромитанский район, г. Ромитан, ул. Шафигулина, 6",,,"Бухарская область","base.uz",,,"00095"
"Жондорский филиал Агробанка","200600, Бухарская область, Жондорский район, гп Жондор, ул. М. Таробий, 43",,,"Бухарская область","base.uz",,,"00096"
"Бухарский филиал Агробанка","200400, Бухарская область, Бухарский район, г. Галлаасия, ул. М. Мухсина, 56",,,"Бухарская область","base.uz",,,"00097"
