"id","code","name","user_type_id:id","reconcile","chart_template_id:id","tag_ids","currency_id:id"
"uz_nsbu_057000","057000","Амортизация авторских прав","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_058000","058000","Амортизация гудвилла","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_059000","059000","Амортизация прочих НМА","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_061000","061000","Долгосрочные инвестиции в ценные бумаги","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_062000","062000","Долгосрочные инвестиции в ДП","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_063000","063000","Долгосрочные инвестиции в ЗО","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_064000","064000","Долгосрочные инвестиции в СП","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_069000","069000","Прочие долгосрочные инвестиции","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_071000","071000","Оборудование к установке - отечественное","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_072000","072000","Оборудование к установке - импортное","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_081000","081000","Незавершенное строительство объектов ОС","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_082000","082000","Приобретение основных средств","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_083000","083000","Приобретение нематериальных активов","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_084000","084000","Формирование основного стада","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_085000","085000","Капиталовложения в благоустройства земли","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_086000","086000","Капиталовложения в ОС, полученные по договору финансового лизинга","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_089000","089000","Прочие капиталовложения","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_091000","091000","Векселя полученные - долгосрочная часть","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_092000","092000","Платежи к получению по долгосрочной аренде","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_093000","093000","Задолженность персонала - долгосрочная часть","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_094000","094000","Прочая дебиторская задолженность - долгосрочная часть","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_095000","095000","Отложенные налоговые активы","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_096000","096000","Отсроченные расходы по дисконтам - долгосрочная часть","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_099000","099000","Прочие отсроченные расходы - долгосрочная часть","account.data_account_type_fixed_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_101000","101000","Сырье и материалы","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_102000","102000","Покупные полуфабрикаты и комплектующие изделия, конструкции и детали","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_103000","103000","Топливо","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_104000","104000","Запасные части","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_105000","105000","Строительные материалы","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
"uz_nsbu_106000","106000","Тара и тарные материалы","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template",,
