id,code_prefix_start,code_prefix_end,name
account_group_66,660000,669999,СЧЕТА УЧЕТА ЗАДОЛЖЕННОСТИ УЧРЕДИТЕЛЯМ
account_group_67,670000,679999,СЧЕТА УЧЕТА РАСЧЕТОВ С ПЕРСОНАЛОМ ПО ОПЛАТЕ ТРУДА
account_group_68,680000,689999,СЧЕТА УЧЕТА КРАТКОСРОЧНЫХ КРЕДИТОВ И ЗАЙМОВ
account_group_69,690000,699999,СЧЕТА УЧЕТА ЗАДОЛЖЕННОСТИ РАЗНЫМ КРЕДИТОРАМ
account_group_70,700000,709999,ДОЛГОСРОЧНЫЕ СЧЕТА К ОПЛАТЕ ПОСТАВЩИКАМ И ПОДРЯДЧИКАМ
account_group_71,710000,719999,"ДОЛГОСРОЧНАЯ ЗАДОЛЖЕННОСТЬ ОБОСОБЛЕННЫМ ПОДРАЗДЕЛЕНИЯМ, ДОЧЕРНИМ И ЗАВИСИМЫМ ХОЗЯЙСТВЕННЫМ ОБЩЕСТВАМ"
account_group_72,720000,729999,СЧЕТА УЧЕТА ОТСРОЧЕННЫХ ДОЛГОСРОЧНЫХ ОБЯЗАТЕЛЬСТВ
account_group_73,730000,739999,"СЧЕТА УЧЕТА АВАНСОВ, ПОЛУЧЕННЫХ ОТ ПОКУПАТЕЛЕЙ И ЗАКАЗЧИКОВ"
account_group_78,780000,789999,СЧЕТА УЧЕТА ДОЛГОСРОЧНЫХ КРЕДИТОВ И ЗАЙМОВ
account_group_79,790000,799999,СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ЗАДОЛЖЕННОСТИ РАЗНЫМ КРЕДИТОРАМ
account_group_83,830000,839999,СЧЕТА УЧЕТА УСТАВНОГО КАПИТАЛА
account_group_84,840000,849999,СЧЕТА УЧЕТА ДОБАВЛЕННОГО КАПИТАЛА
account_group_85,850000,859999,СЧЕТА УЧЕТА РЕЗЕРВНОГО КАПИТАЛА
account_group_86,860000,869999,СЧЕТА УЧЕТА ВЫКУПЛЕННЫХ СОБСТВЕННЫХ АКЦИЙ
account_group_87,870000,879999,СЧЕТА УЧЕТА НЕРАСПРЕДЕЛЕННОЙ ПРИБЫЛИ (НЕПОКРЫТОГО УБЫТКА)
account_group_88,880000,889999,СЧЕТА УЧЕТА ЦЕЛЕВЫХ ПОСТУПЛЕНИЙ
account_group_89,890000,899999,СЧЕТА УЧЕТА РЕЗЕРВОВ ПРЕДСТОЯЩИХ РАСХОДОВ И ПЛАТЕЖЕЙ
account_group_90,900000,909999,СЧЕТА УЧЕТА ДОХОДОВ ОТ ОСНОВНОЙ (ОПЕРАЦИОННОЙ) ДЕЯТЕЛЬНОСТИ
account_group_91,910000,919999,"СЧЕТА УЧЕТА СЕБЕСТОИМОСТИ РЕАЛИЗОВАННОЙ ПРОДУКЦИИ (ТОВАРОВ, РАБОТ, УСЛУГ)"
account_group_92,920000,929999,СЧЕТА УЧЕТА ВЫБЫТИЯ ОСНОВНЫХ СРЕДСТВ И ДРУГИХ АКТИВОВ
account_group_93,930000,939999,СЧЕТА УЧЕТА ПРОЧИХ ДОХОДОВ ОТ ОСНОВНОЙ ДЕЯТЕЛЬНОСТИ
account_group_94,940000,949999,СЧЕТА УЧЕТА РАСХОДОВ ПЕРИОДА
account_group_95,950000,959999,СЧЕТА УЧЕТА ДОХОДОВ ОТ ФИНАНСОВОЙ ДЕЯТЕЛЬНОСТИ
account_group_96,960000,969999,СЧЕТА УЧЕТА РАСХОДОВ ПО ФИНАНСОВОЙ ДЕЯТЕЛЬНОСТИ
account_group_97,970000,979999,СЧЕТА УЧЕТА ЧРЕЗВЫЧАЙНЫХ ПРИБЫЛЕЙ (УБЫТКОВ)
account_group_98,980000,989999,СЧЕТА УЧЕТА ИСПОЛЬЗОВАНИЯ ПРИБЫЛИ ДЛЯ УПЛАТЫ НАЛОГОВ И ДРУГИХ ОБЯЗАТЕЛЬНЫХ ПЛАТЕЖЕЙ
account_group_99,990000,999999,СЧЕТА УЧЕТА КОНЕЧНОГО ФИНАНСОВОГО РЕЗУЛЬТАТА
account_group_100,ВР,ВР,ВЫРУЧКА
account_group_101,ДА,ДА,ДОЛГОСРОЧНЫЕ АКТИВЫ
account_group_102,ДО,ДО,ДОЛГОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА
account_group_103,ПД,ПД,ПРОЧИЕ ДОХОДЫ
account_group_104,РП,РП,РАСХОДЫ ПЕРИОДА
account_group_105,СК,СК,СОБСТВЕННЫЙ КАПИТАЛ
account_group_106,СС,СС,СЕБЕСТОИМОСТЬ
account_group_107,ТА,ТА,ТЕКУЩИЕ АКТИВЫ
account_group_108,ТО,ТО,ТЕКУЩИЕ ОБЯЗАТЕЛЬСТВА
account_group_109,ФД,ФД,ФИНАНСОВЫЕ ДОХОДЫ
account_group_110,ФР,ФР,ФИНАНСОВЫЕ РАСХОДЫ
